"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",5.0024690445752,4.16093383788475,1.33041169644457,3.12755356030358,0.00176267699995011,0.00657584234317467
"0610007P14Rik",608.090169647071,-0.562006985028708,0.103004008106225,-5.45616617606888,4.86524638818429e-08,5.2596528138783e-07
"0610009B22Rik",162.566598734915,-0.607042878042549,0.141435217637513,-4.29202067336828,1.77054459410588e-05,0.000108883459403795
"0610009O20Rik",789.038892276086,0.351293376471464,0.0805232513511099,4.36263278713995,1.28506539726466e-05,8.17654355710552e-05
"0610012G03Rik",243.271463117801,-0.374061586610787,0.140364582970192,-2.66492856456692,0.00770046783767059,0.0235513837259576
"0610030E20Rik",1999.03628559235,0.544114000901852,0.0745747390611835,7.29622399959647,2.95956031561413e-13,9.52440319752184e-12
"0610037L13Rik",1042.83963000848,-0.359821707328439,0.0802039249215653,-4.48633539668195,7.24586481839813e-06,4.87649457359874e-05
"1010001N08Rik",21.9485793814807,1.02937611540486,0.419607074954562,2.45319056051742,0.0141595305857849,0.0393556117780488
"1110004E09Rik",192.988339308094,-0.394618805292226,0.142087925174224,-2.77728599955525,0.00548149228678617,0.0176491904785392
"1110004F10Rik",934.128851199548,-0.184268499104511,0.0730702761326439,-2.52179831331155,0.0116756629824836,0.0335139552217242
"1110008F13Rik",893.586729392318,-0.442913209803585,0.0865583315773783,-5.11693330650263,3.10543365883653e-07,2.81877824417469e-06
"1110008P14Rik",315.599205883999,-0.517122878719222,0.129435763434541,-3.99520862702482,6.46373081297247e-05,0.000344508182120378
"1110012L19Rik",209.791691252114,-0.399763057400478,0.126086757696882,-3.17053959275823,0.00152156095636639,0.00576469971209448
"1110037F02Rik",2180.93118534795,-0.223314158870714,0.0739907058634729,-3.01813797104155,0.00254333082905655,0.00903789947832289
"1110059E24Rik",956.174994700876,-0.400745815426676,0.105620753420005,-3.79419576598829,0.000148122776024689,0.000723519932062393
"1110059G10Rik",388.954433753472,-0.418335778789698,0.0969887259453373,-4.31324130420552,1.60878361253568e-05,0.000100087928859031
"1300002E11Rik",706.929248578205,0.442188665834626,0.0925982677089054,4.7753449041261,1.79399511378822e-06,1.38552498474639e-05
"1500009L16Rik",16.4073382395141,1.58260798133392,0.52941000074331,2.9893805918133,0.00279543687888653,0.00982794439001819
"1500011K16Rik",167.713253547685,-0.805498639220556,0.169612053425139,-4.74906483916884,2.04359420372433e-06,1.55607270811547e-05
"1500015O10Rik",45.6854670070237,-1.10027149670641,0.263702883252671,-4.17239084812041,3.01420006989721e-05,0.000174558225344732
"1600002K03Rik",148.882461363196,-0.511622999697787,0.147998052467738,-3.45695765023202,0.00054631069683439,0.00232343146949882
"1600012H06Rik",826.045080038116,-0.395094571222818,0.0768717907013599,-5.13965614197444,2.75241690948201e-07,2.5253820678046e-06
"1700011H14Rik",4.71002546866734,4.8351610135752,1.53452345346101,3.15092024346048,0.00162756927700139,0.00612187569539125
"1700012D14Rik",63.0576617651789,0.655776348180835,0.225999096200846,2.90167686156605,0.00371171192520969,0.0125572599798145
"1700017B05Rik",868.025553994994,0.837751762630814,0.0976237900009975,8.58143043434653,9.37005478674809e-18,7.19610620388782e-16
"1700020D05Rik",20.6963610861119,0.9428675572061,0.370299951469616,2.54622652113273,0.0108894499657979,0.0315831358310867
"1700021F05Rik",172.115133620897,-0.358591402632419,0.142082405878119,-2.52382693280142,0.0116085062896338,0.0333605339423128
"1700028E10Rik",76.6910129583301,0.68701524181717,0.201745923871373,3.40534881019548,0.000660795919070615,0.00274849317331871
"1700034H15Rik",33.7782056199078,1.12129468995755,0.27898953176673,4.01912818325775,5.84138861546392e-05,0.000314959391700588
"1700037H04Rik",354.402407992218,-0.54467679076919,0.202284037232198,-2.69263357713177,0.00708901320022158,0.0219607139233595
"1700056N10Rik",26.3873243042724,0.904175145722199,0.367941717331328,2.45738687170392,0.0139951881742499,0.0389767291879052
"1700109H08Rik",84.0878007895996,1.17882190563802,0.213961485143928,5.50950515624365,3.59843854593134e-08,3.99666848198991e-07
"1700110C19Rik",9.1672200096466,1.58352737928798,0.581154024021992,2.72479809797903,0.00643408190850146,0.0202311974739218
"1700123O20Rik",679.493722342479,-0.32426457075824,0.0979414095917287,-3.31080155074289,0.000930291575025514,0.00372844317944561
"1810011O10Rik",641.448770052161,-0.475580346177042,0.0918062115681676,-5.18026327471225,2.21572952763573e-07,2.07904838087073e-06
