"","Entrez","Pathway","SYMBOL"
"mmu04640 Hematopoietic cell lineage1","100042555","Hematopoietic cell lineage","Gm13305"
"mmu04640 Hematopoietic cell lineage2","100504404","Hematopoietic cell lineage","H2-Ea"
"mmu04640 Hematopoietic cell lineage3","109700","Hematopoietic cell lineage","Itga1"
"mmu04640 Hematopoietic cell lineage4","12475","Hematopoietic cell lineage","Cd14"
"mmu04640 Hematopoietic cell lineage5","12478","Hematopoietic cell lineage","Cd19"
"mmu04640 Hematopoietic cell lineage6","12479","Hematopoietic cell lineage","Cd1d1"
"mmu04640 Hematopoietic cell lineage7","12480","Hematopoietic cell lineage","Cd1d2"
"mmu04640 Hematopoietic cell lineage8","12481","Hematopoietic cell lineage","Cd2"
"mmu04640 Hematopoietic cell lineage9","12482","Hematopoietic cell lineage","Ms4a1"
"mmu04640 Hematopoietic cell lineage10","12483","Hematopoietic cell lineage","Cd22"
"mmu04640 Hematopoietic cell lineage11","12484","Hematopoietic cell lineage","Cd24a"
"mmu04640 Hematopoietic cell lineage12","12489","Hematopoietic cell lineage","Cd33"
"mmu04640 Hematopoietic cell lineage13","12490","Hematopoietic cell lineage","Cd34"
"mmu04640 Hematopoietic cell lineage14","12491","Hematopoietic cell lineage","Cd36"
"mmu04640 Hematopoietic cell lineage15","12493","Hematopoietic cell lineage","Cd37"
"mmu04640 Hematopoietic cell lineage16","12494","Hematopoietic cell lineage","Cd38"
"mmu04640 Hematopoietic cell lineage17","12500","Hematopoietic cell lineage","Cd3d"
"mmu04640 Hematopoietic cell lineage18","12501","Hematopoietic cell lineage","Cd3e"
"mmu04640 Hematopoietic cell lineage19","12502","Hematopoietic cell lineage","Cd3g"
"mmu04640 Hematopoietic cell lineage20","12504","Hematopoietic cell lineage","Cd4"
"mmu04640 Hematopoietic cell lineage21","12505","Hematopoietic cell lineage","Cd44"
"mmu04640 Hematopoietic cell lineage22","12507","Hematopoietic cell lineage","Cd5"
"mmu04640 Hematopoietic cell lineage23","12509","Hematopoietic cell lineage","Cd59a"
"mmu04640 Hematopoietic cell lineage24","12516","Hematopoietic cell lineage","Cd7"
"mmu04640 Hematopoietic cell lineage25","12525","Hematopoietic cell lineage","Cd8a"
"mmu04640 Hematopoietic cell lineage26","12526","Hematopoietic cell lineage","Cd8b1"
"mmu04640 Hematopoietic cell lineage27","12527","Hematopoietic cell lineage","Cd9"
"mmu04640 Hematopoietic cell lineage28","12902","Hematopoietic cell lineage","Cr2"
"mmu04640 Hematopoietic cell lineage29","12946","Hematopoietic cell lineage","Cr1l"
"mmu04640 Hematopoietic cell lineage30","12977","Hematopoietic cell lineage","Csf1"
"mmu04640 Hematopoietic cell lineage31","12978","Hematopoietic cell lineage","Csf1r"
"mmu04640 Hematopoietic cell lineage32","12981","Hematopoietic cell lineage","Csf2"
"mmu04640 Hematopoietic cell lineage33","12982","Hematopoietic cell lineage","Csf2ra"
"mmu04640 Hematopoietic cell lineage34","12985","Hematopoietic cell lineage","Csf3"
"mmu04640 Hematopoietic cell lineage35","12986","Hematopoietic cell lineage","Csf3r"
"mmu04640 Hematopoietic cell lineage36","13136","Hematopoietic cell lineage","Cd55"
"mmu04640 Hematopoietic cell lineage37","13137","Hematopoietic cell lineage","Cd55b"
"mmu04640 Hematopoietic cell lineage38","13856","Hematopoietic cell lineage","Epo"
"mmu04640 Hematopoietic cell lineage39","13857","Hematopoietic cell lineage","Epor"
"mmu04640 Hematopoietic cell lineage40","14128","Hematopoietic cell lineage","Fcer2a"
"mmu04640 Hematopoietic cell lineage41","14129","Hematopoietic cell lineage","Fcgr1"
"mmu04640 Hematopoietic cell lineage42","14255","Hematopoietic cell lineage","Flt3"
"mmu04640 Hematopoietic cell lineage43","14256","Hematopoietic cell lineage","Flt3l"
"mmu04640 Hematopoietic cell lineage44","14723","Hematopoietic cell lineage","Gp1ba"
"mmu04640 Hematopoietic cell lineage45","14724","Hematopoietic cell lineage","Gp1bb"
"mmu04640 Hematopoietic cell lineage46","14729","Hematopoietic cell lineage","Gp5"
