"","V1","V2","V3"
"1","Cox6b1","Cox7a2",5.29998871381872
"2","Cox6b1","Uqcrb",5.19835233966774
"3","Cox6b1","Ndufa4",5.00563278841673
"4","Cox7a2","Uqcrb",4.98055437226685
"5","Rps4x","Rpl27a",4.87484005787951
"6","Rpl27a","Rpl15",4.85091425980545
"7","Vps29","Vps35",4.77360752996287
"8","Rps4x","Rpl15",4.74133318541749
"9","Smarca4","Smarcd1",4.68041995483145
"10","Cox7a2","Ndufa4",4.67893502770312
"11","Polr2a","Polr2b",4.65984033423933
"12","Cct3","Cct8",4.61752243167075
"13","Smarcc2","Smarcd1",4.569220085795
"14","Smarca4","Smarcc2",4.5392514631701
"15","Sucla2","Suclg1",4.53694690200768
"16","Smarca4","Actl6a",4.53422136971722
"17","Smarca4","Arid1a",4.52937728989923
"18","Psma2","Psma1",4.51751507053905
"19","Lsm3","Lsm6",4.48817925041817
"20","Smarca4","Bcl7a",4.48727134545675
"21","Arpc3","Actr2",4.47612454378213
"22","Snx1","Vps35",4.45934929647547
"23","Smarcc2","Arid1a",4.44028634884239
"24","Cox7a2","Uqcrh",4.43065308871178
"25","Sumo3","Ube2i",4.41824536334411
"26","Ndufs8","Ndufs1",4.3882458222165
"27","Snx1","Snx6",4.38330691248234
"28","Psma2","Psma4",4.37947223148035
"29","Tnrc6c","Ago2",4.37812498758808
"30","Psma1","Psma4",4.37453589645293
"31","Dld","Ogdh",4.35781061311195
"32","Pdha1","Ndufs1",4.34996830607133
"33","Ccnc","Med12",4.34496868667861
"34","Cops3","Cops4",4.32469778468885
"35","Psmb7","Psma1",4.28606714979378
"36","Ndufs1","Ndufa9",4.28508248091725
"37","Cyp51","Msmo1",4.28275099184611
"38","Smarcd1","Arid1a",4.27405219836874
"39","Psma2","Psmb7",4.2697703163974
"40","Bub3","Dynlt3",4.26180539568168
"41","Eif2s1","Eif2s2",4.24905217474429
"42","Cops2","Cops4",4.24487205076821
"43","Actl6a","Smarcd1",4.24074040676237
"44","Sympk","Cpsf1",4.23942578975425
"45","Atp6v1f","Atp6v1d",4.23552234889576
"46","Psmb7","Psma4",4.23251702000994
"47","Snx2","Snx6",4.22695262719026
"48","Cops2","Cops3",4.2205784967723
"49","Suclg1","Ndufa9",4.21967083896152
"50","Safb2","Safb",4.2195817681868
"51","Atp5f1","Ndufa9",4.21813670934944
"52","Casc3","Stau1",4.20884622013
"53","Plxnb2","Arhgef11",4.20551110023189
"54","Kat2a","Atxn7",4.20471138423022
"55","Hspa8","Dnaja1",4.20166509918067
"56","Cox6b1","Uqcrh",4.2002362634264
"57","Hcfc1","Kmt2a",4.19419963653036
"58","Cox6c","Cox7a2",4.1845512543207
"59","Dld","Ndufa9",4.16823491182413
"60","Brd1","Brpf3",4.16144066081301
"61","Lims1","Tmsb4x",4.14558150218045
"62","Atg5","Wdfy3",4.14202069530779
"63","Pls3","Atxn2",4.14034916673472
"64","Sec23a","Sec24b",4.136728716069
"65","Ndufa4","Uqcrh",4.13128064659304
"66","Lrp1","Synj2bp",4.1157555190473
"67","Cacybp","S100a1",4.09995888216235
"68","Sept10","Sept8",4.0926947962771
"69","Brd4","Brd3",4.08931632290705
"70","Psmd10","Psmc6",4.08728208630009
"71","Psma1","Psmc6",4.08672374159664
"72","Bcl7a","Smarcd1",4.08415533564585
"73","Bcl7a","Arid1a",4.08415533564585
"74","Mta1","Gatad2b",4.08415493854227
"75","Med12","Med13l",4.08415434283029
"76","Smarcc2","Bcl7a",4.08414301133939
"77","Snx1","Snx2",4.08049001135009
"78","Atp5f1","Ndufs8",4.07550707032078
"79","Axin2","Rnf111",4.06812705138486
"80","Ccdc97","Sf3b6",4.0634771323073
"81","Eng","Itga5",4.06344267271788
"82","Pkd1","Pkd2",4.05693932014401
"83","Actl6a","Smarcc2",4.0486122151442
"84","Sec23b","Sec24b",4.04557424394102
"85","Polr1b","Polr2b",4.03604123403557
"86","Ncor2","Hdac7",4.03209541455658
"87","Znrf1","Tubb2a",4.02521856232602
"88","Cbfa2t3","Ldb1",4.021028683748
"89","Ndufc2","Ndufa11",4.01437045185139
"90","Tead1","Tead3",4.01126391231628
"91","Ndufs8","Ndufa9",4.00822116293079
