"","V1","V2","V3"
"1","Cox6b1","Cox7a2",5.29998871381872
"2","Atp5a1","Atp5d",5.26513597956887
"3","Ndufb9","Ndufb8",5.22705678745956
"4","Atp5j2","Uqcr11",5.21096769380142
"5","Cox6b1","Uqcrb",5.19835233966774
"6","Atp5k","Atp5j2",5.18500204243855
"7","Ndufb11","Cox6b1",5.17641886073329
"8","Ndufb9","Ndufc1",5.15856871204619
"9","Cox6b1","Ndufb9",5.14195552776278
"10","Cox5a","Cycs",5.12481470140665
"11","Atp5l","Uqcrh",5.11730062487595
"12","Cox7a2","Atp5j2",5.10428779516474
"13","Etfb","Etfa",5.09941938286261
"14","Ndufs8","Atp5d",5.09491542750129
"15","Rpl26","Rpl37a",5.09395275476754
"16","Ndufc1","Ndufb8",5.08681414280932
"17","Ndufs8","Cyc1",5.08003536785327
"18","Cox6b1","Atp5j2",5.04456648867131
"19","Rps18","Rps11",5.04455484157052
"20","Ndufa3","Uqcr11",5.03780356651009
"21","Rpl26","Rps14",5.0323924976833
"22","Cox6b1","Ndufb8",5.02718663834003
"23","Cox6b1","Ndufa4",5.00563278841673
"24","Rps14","Rps17",4.99428922058246
"25","Atp5a1","Atp5f1",4.98690391468267
"26","Atp5j2","Uqcrb",4.9832851215665
"27","Rpl26","Rps17",4.98303689053273
"28","Cox7a2","Uqcrb",4.98055437226685
"29","Ndufb5","Ndufb9",4.97592204192711
"30","Rps17","Rps18",4.97136541254986
"31","Atp5k","Ndufb9",4.96771808770177
"32","Rpl9","Rps4x",4.96716130652135
"33","Rps18","Rps10",4.96459277527629
"34","Rps4x","Rpl18a",4.96050107366182
"35","Atp5k","Cox7a2",4.95701042047449
"36","Ndufb11","Cox7a2",4.95583358648946
"37","Rpsa","Rps4x",4.95435318360205
"38","Atp5k","Ndufb8",4.95408701792417
"39","Atp5j2","Ndufa3",4.95365167194063
"40","Ndufb11","Ndufb9",4.95321066332258
"41","Ndufb9","Uqcr11",4.95064140520435
"42","Rpl5","Rps4x",4.94989739574976
"43","Rpl37a","Rpl9",4.94574343998238
"44","Rpl5","Rpl32",4.94231065768918
"45","Rpl26","Rps18",4.94153914978051
"46","Rpl10a","Rps4x",4.94125920780743
"47","Cox5a","Cyc1",4.94004866397154
