"","V1","V2","V3"
"1","Cox6b1","Cox7a2",5.29998871381872
"2","Cox6b1","Uqcrb",5.19835233966774
"3","C1qa","C1qc",5.19437152473506
"4","Rpl26","Rps14",5.0323924976833
"5","Rpl26","Rplp2",5.01996365790274
"6","Cox6b1","Ndufa4",5.00563278841673
"7","Cox7a2","Uqcrb",4.98055437226685
"8","Col4a1","Col4a2",4.95754058068724
"9","C1qa","C1qb",4.95226509227405
"10","Rpl10a","Rps4x",4.94125920780743
"11","Lyz2","Lyz1",4.94115261903448
"12","Rpl7","Rps4x",4.9387389664787
"13","Rps5","Rpl4",4.8991181336537
"14","Rpl10a","Rpl27a",4.89481065264363
"15","Rps14","Rps4x",4.8923483281651
"16","C1qb","C1qc",4.88886854685461
"17","Rpl6","Rpl7",4.8814444387117
"18","Rpl26","Rpl4",4.87619478476859
"19","Rps4x","Rpl27a",4.87484005787951
"20","Rpl10a","Rpl7",4.86899085485402
"21","Rpl27a","Rpl15",4.85091425980545
"22","Rpl31","Rpl10a",4.84516155048595
"23","Rpl31","Rpl7",4.84510793344111
"24","Rpl6","Rps4x",4.84493132461853
"25","Rpl31","Rpl27a",4.84414238373597
"26","Rpl10a","Rplp2",4.8406940930995
"27","Rpl10a","Rpl15",4.82136147561641
"28","Rps14","Rps5",4.80648188155169
"29","Rpl31","Rps4x",4.80187128629382
"30","Rpl7","Rpl27a",4.78151976463118
"31","Atp5c1","Atp5f1",4.78040699060307
"32","Rpl10a","Rpl6",4.77469386319513
"33","Vps29","Vps35",4.77360752996287
"34","Rps4x","Rps5",4.77165725752775
"35","Rps4x","Rpl15",4.74133318541749
"36","Copa","Copb2",4.71325457835428
"37","Rpl26","Rps5",4.70749136025893
"38","Rpl31","Rpl6",4.70530849045667
"39","Rpl27a","Rplp2",4.68831325584279
"40","Myom2","Ttn",4.68219892586399
"41","Smarca4","Smarcd1",4.68041995483145
"42","Cox7a2","Ndufa4",4.67893502770312
"43","Rplp0","Rplp2",4.67826351196504
"44","Rps4x","Rpl4",4.66486354311019
"45","Polr2a","Polr2b",4.65984033423933
"46","Rplp2","Rpl4",4.65833841874974
"47","Rpl7","Rps24",4.65612777775095
"48","Psmc1","Psmd2",4.65418321870652
"49","Vps29","Vps26b",4.6527395358205
"50","Rpl31","Rpl15",4.65138221024768
"51","Cct2","Cct8",4.64349811038824
"52","Eif4e","Eif4ebp2",4.63771641751964
"53","Cct2","Cct3",4.63363144894174
"54","Rps14","Rps3",4.63086128235
"55","Cct2","Cct4",4.62811511853511
"56","Cct3","Cct4",4.62637563307112
"57","Skiv2l","Ttc37",4.62625511684064
"58","Copa","Arcn1",4.62297610263909
"59","Eef1a1","Rpl10a",4.61816448140257
"60","Cct3","Cct8",4.61752243167075
"61","Rpl6","Rpl27a",4.61522909483961
"62","Arcn1","Copb2",4.60617778139544
"63","Atp5c1","Cox7a2",4.60247191220515
"64","Rpl26","Rps4x",4.59949701303026
"65","Rpl6","Rps5",4.59468860613106
"66","Rpl31","Rps24",4.59267204450316
"67","Eif3a","Eif3c",4.58941071741378
"68","Dkc1","Gar1",4.58563994620044
"69","Eef1a1","Rplp2",4.58508417652229
"70","Rpl7","Rplp2",4.58441277383236
"71","Exosc4","Exosc9",4.58425708404798
"72","Rpl6","Rpl15",4.58224663944475
"73","Eif3a","Eif3i",4.5820277343787
"74","Rpl10a","Rps14",4.57514068245405
"75","Rpl7","Rpl15",4.57498475945499
"76","Vps35","Vps26b",4.57015781293535
"77","Smarcc2","Smarcd1",4.569220085795
"78","Rpl31","Rplp2",4.55127316424978
"79","Eef1a1","Rps4x",4.5505308802019
"80","Usp10","G3bp2",4.55042257936998
"81","Psmc3","Psmc6",4.54751192865137
"82","Rplp0","Rps5",4.5462841523497
"83","Eif4e","Eif4g3",4.54620740837345
"84","Smarca4","Smarcc2",4.5392514631701
"85","Sucla2","Suclg1",4.53694690200768
"86","Smarca4","Actl6a",4.53422136971722
"87","Cpsf4","Cpsf1",4.5317493693351
"88","Smarca4","Arid1b",4.53104993936859
"89","Smarca4","Arid1a",4.52937728989923
"90","Stag2","Smc1a",4.52758778997168
"91","Exosc5","Exosc9",4.52643398921236
