"","Source","Target","Score"
"1","Polr2f","Polr2i",4.52114368657544
"2","Polr2h","Polr2f",4.51262373592499
"3","Arpc1b","Arpc2",4.50134489938637
"4","Arpc1b","Actr2",4.49543845927769
"5","Actr2","Arpc2",4.48774742097976
"6","Polr2h","Polr2i",4.48765281615192
"7","Arpc3","Arpc2",4.48549866388817
"8","Arpc3","Actr2",4.47612454378213
"9","Arpc3","Arpc5",4.47032313559703
"10","Arpc5","Arpc2",4.46638349914519
"11","Actr2","Arpc5",4.45423469357047
"12","Arpc1b","Arpc3",4.44596838833377
"13","Arpc1b","Arpc5",4.42937900156585
"14","Hsp90ab1","Stip1",4.31843684362889
"15","Hspa8","Dnaja2",4.3105064022418
"16","Mtor","Rptor",4.28184892451759
"17","Polr1d","Polr1a",4.25352614750568
"18","Cd81","Igsf8",4.24587987441237
"19","Hsp90ab1","Hsp90aa1",4.2097087519719
"20","Hspa8","Dnaja1",4.20166509918067
"21","Irf9","Stat2",4.18148462739259
"22","Tgfbr2","Tgfbr3",4.15976100167836
"23","Atg5","Wdfy3",4.14202069530779
"24","Polr2h","Znrd1",4.1200554722152
"25","Il1rap","Tollip",4.0946473207282
"26","Nfkb1","Rel",4.07070458318321
"27","Hspa8","Dnajb1",4.05574873431055
"28","Asap1","Ptk2b",4.0516459747821
"29","Cd81","Ifitm2",4.04241765365714
"30","Atg5","Atg10",4.01561263279041
"31","Stat1","Irgm2",4.01510209089543
"32","Myl2","Tnnc1",4.01410181402139
"33","Rxra","Med25",4.00782383013802
"34","Gng12","Stam2",3.99720417579942
"35","Prkcd","Slc1a5",3.98526574717971
"36","Itga6","Itgb1",3.98136118864477
"37","Hsp90ab1","Nelfe",3.98119590634792
"38","Atg5","Atg12",3.97129480029298
"39","Lyn","Ankrd54",3.97004454242006
"40","Hspa8","Stip1",3.96804515999611
"41","Arhgef1","Hip1r",3.96412289549994
"42","Arhgef1","Unk",3.96412289549971
"43","Ctnnb1","Ctnnbip1",3.95564161232232
"44","Ptk2b","Arhgap10",3.95460067595582
"45","Mtor","Eif3f",3.9530811697457
"46","Cdk4","Psmd10",3.94842770913601
"47","Mapkapk2","Phc2",3.94126398541471
"48","Gnb5","Rgs7bp",3.93712941047283
"49","Polr1d","Polr2h",3.93462792688706
"50","Notch1","Eif3f",3.93203930573281
"51","Hsp90aa1","Chordc1",3.93155601273202
"52","Bcl2","Bnip3",3.92522465755678
"53","Hsp90aa1","Stip1",3.92462754110102
"54","Map2k7","Map3k1",3.922480646444
"55","Stat2","Ssna1",3.91398932711513
"56","Vdac2","Tomm40",3.91122745561938
"57","Ikbkb","Sash1",3.90951723647731
"58","Nfatc2","Tfg",3.90688588210514
"59","Actb","Tmsb4x",3.90500724671756
"60","Plcb2","Pola1",3.89347992216994
"61","Rfxank","Hdac4",3.88972205417053
"62","Rbck1","Rnf31",3.88835567415799
"63","Jak3","Stat3",3.88803247584974
"64","Dock1","Zhx2",3.88096092661408
"65","Hspa8","Grpel1",3.87746947120831
"66","Gnai3","Bag6",3.87499242249351
"67","Hspa8","Dnajb12",3.8711873854536
"68","Prkce","Rps6kb2",3.85387215384162
"69","Rxra","Thrb",3.84747588424693
"70","Rxra","Asxl1",3.84241734770058
"71","Map2k7","Mapk8ip3",3.839295361739
"72","Chuk","Fam92a",3.83749924920471
"73","Chuk","Trim44",3.83749924920471
"74","Chuk","Pex5",3.83749924920471
"75","Chuk","Pbxip1",3.83749924920471
"76","Ikbkb","Gmppb",3.83749924920471
"77","Itpr1","Crtc2",3.83151511768278
"78","Stat2","Appl2",3.82782952767775
"79","Hsp90ab1","Ip6k2",3.82321929314344
"80","Ptpn11","Heatr6",3.82321929314344
"81","Hsp90aa1","Itgb1bp2",3.82158618037079
"82","Ptpn11","Frs2",3.8139055770946
"83","Mapk8","Spag9",3.81159705311188
"84","Ptk2","Sorbs1",3.81063218963527
"85","Rela","Pias4",3.80116369459301
"86","Pik3r2","S100a10",3.8011577889954
"87","Arhgef1","Myo18a",3.8011502540121
"88","Tgfbr2","Lrg1",3.8011502540121
"89","Crk","Nedd9",3.79573308292356
"90","Itpr1","Nploc4",3.79292342179087
"91","Irak1","Aarsd1",3.78897186145605
"92","Limk2","Pxn",3.78494207609901
"93","Nfatc2","Notch4",3.78490684683015
"94","Dnm2","Sh3kbp1",3.78480202722562
"95","Myl2","Vcp",3.78112358138333
"96","Crk","Arhgap33",3.77754237759223
"97","Ctnnb1","Ptprf",3.77521405772768
"98","Ctnnb1","Rapgef2",3.75932979150957
"99","Hsp90ab1","Chordc1",3.73703554428857
"100","Wasf3","Cyfip2",3.73648719542439
"101","Cd28","Pik3r1",3.73529508652769
"102","Stat1","Stat2",3.7336555081904
"103","Pxn","Git1",3.73290464287243
"104","Hsp90ab1","Itgb1bp2",3.73199534247124
"105","Ikbkb","Snx1",3.72878483733211
"106","Gnb1","Gnb4",3.7286593018855
"107","Rela","Med16",3.72253480251902
"108","Stat3","Bank1",3.72253480251902
"109","Stat2","Cops4",3.71636511722227
"110","Stat2","Cand1",3.71636511722227
"111","Stat1","Iigp1",3.71123456728401
"112","Txn1","Glod4",3.70731265072004
"113","Irak1","Il1rap",3.70620242822656
"114","Irak1","Tollip",3.69642436389699
"115","Hspa8","Dnajb11",3.69289186918445
"116","Dnm2","Ptk2",3.6878578526439
"117","Prkcd","Fbxw7",3.68762468467185
"118","Prkcd","Ldb3",3.68762468467185
"119","Pxn","Pdlim7",3.68364355738436
"120","Atg5","Casp8",3.68220829190727
"121","Hsp90aa1","Nupr1",3.67861148479142
"122","Nfkb1","Rela",3.67772891873506
"123","Cdc42","Arhgap33",3.67428178549676
"124","Bcl2","Bcl2l11",3.67353398784394
"125","Pxn","Ldb3",3.67346074743841
"126","Itpr1","Erlin2",3.67169633544086
"127","Itpr1","Ube4b",3.67169633544086
"128","Arhgef1","Arhgef12",3.66915824838611
"129","Irak1","Parvg",3.66665241863006
"130","Pxn","Zhx2",3.66152236278504
"131","Pip5k1c","Pip5k1b",3.65419079086314
"132","Vdac2","Bcap31",3.64191696614307
"133","Plcg1","Sos1",3.6404142761362
"134","Ptk2","Nrp1",3.63746442976549
"135","Rxra","Nr1h3",3.62230863632044
"136","Cdk4","Cdkn1a",3.61991549485879
"137","Ikbkb","Rbck1",3.6155872446202
"138","Actb","Atp6v1a",3.61519685066014
"139","Actb","Cxadr",3.61519685066014
"140","Plcg1","Stk11",3.61517539738225
