"","Source","Target","Score"
"1","Actr2","Actr3",4.65930073142385
"2","Polr3a","Polr3h",4.57593349153422
"3","Arpc1a","Actr3",4.55408467692314
"4","Polr1c","Polr3a",4.53265658448618
"5","Polr2f","Polr2i",4.52114368657544
"6","Polr3a","Polr3k",4.52054549069635
"7","Polr1c","Polr1a",4.51797146217564
"8","Arpc1a","Arpc2",4.51014108253412
"9","Arpc5","Actr3",4.50022060763854
"10","Arpc3","Arpc5l",4.49701278206521
"11","Arpc1a","Actr2",4.49414545680133
"12","Arpc5l","Arpc2",4.49115733620965
"13","Actr2","Arpc2",4.48774742097976
"14","Arpc3","Actr3",4.48608763390462
"15","Arpc3","Arpc2",4.48549866388817
"16","Polr1c","Polr3h",4.48443101958856
"17","Actr3","Arpc2",4.48106168023583
"18","Arpc3","Actr2",4.47612454378213
"19","Arpc1a","Arpc5",4.47188021176112
"20","Arpc3","Arpc5",4.47032313559703
"21","Arpc5","Arpc2",4.46638349914519
"22","Polr3a","Polr2b",4.45432390961332
"23","Actr2","Arpc5",4.45423469357047
"24","Polr1c","Polr2f",4.44995587972357
"25","Actr3","Arpc5l",4.42780583877652
"26","Polr1c","Polr1b",4.42215294210268
"27","Arpc1a","Arpc5l",4.41707311304026
"28","Actr2","Arpc5l",4.41241900094042
"29","Arpc3","Arpc1a",4.41029429156606
"30","Cyba","Noxo1",4.37625477480742
"31","Aim2","Pycard",4.36467931932157
"32","Polr1c","Polr1d",4.32534232815601
"33","Ywhae","Ywhag",4.30549275858675
"34","Ppp1ca","Ppp1cb",4.28619251358782
"35","Trim25","Ddx58",4.26777856909939
"36","Polr1d","Polr1a",4.25352614750568
"37","Hspa5","Hsp90b1",4.24892330081866
"38","Polr1c","Polr1e",4.2268056200835
"39","Hspa5","Dnajc10",4.20521614078143
"40","Hspa8","Dnaja1",4.20166509918067
"41","Cdh5","Ptprb",4.20031898390926
"42","Hspa5","Manf",4.19415852242787
"43","Jag2","Notch2",4.18575509525726
"44","Irf9","Stat2",4.18148462739259
"45","Jag1","Notch2",4.1787485537825
"46","Rnf31","Otulin",4.14760618588434
"47","Hspa8","Hsph1",4.14248047523392
"48","Atg5","Wdfy3",4.14202069530779
"49","Hspa8","Hspa4",4.13237809679777
"50","Ywhae","Ywhab",4.12518761181491
"51","Hspa4","Dnajb1",4.11902404575153
"52","Ly96","Tlr4",4.11386190439066
"53","Atg12","Atg3",4.11114394621154
"54","Arf6","Atp6v1c1",4.10627846190755
"55","Polr1d","Polr3h",4.10540792835513
