"","Source","Target","Score"
"1","C1qa","C1qc",5.19437152473506
"2","C1qa","C1qb",4.95226509227405
"3","C1qb","C1qc",4.88886854685461
"4","Arpc3","Actr2",4.47612454378213
"5","B2m","Tap1",4.28465139155423
"6","Limk1","Limk2",4.28050787261418
"7","Cldn1","Tjp3",4.2684054643114
"8","Trim25","Ddx58",4.26777856909939
"9","Asap1","Reps2",4.25155658590256
"10","Fosb","Junb",4.24956117581678
"11","Hspa5","Hsp90b1",4.24892330081866
"12","Cd81","Igsf8",4.24587987441237
"13","Elmo1","Dock1",4.23172488042178
"14","Hspa8","Dnajb4",4.22198737389431
"15","Nfkb2","Relb",4.21860012516663
"16","Rxrb","Vdr",4.21812098937698
"17","Hspa5","Dnajc10",4.20521614078143
"18","Hspa8","Dnaja1",4.20166509918067
"19","Was","Arpc3",4.18741145556783
"20","Vasp","Apbb1ip",4.16932708643662
"21","Atg5","Wdfy3",4.14202069530779
"22","Tlr4","Cnpy4",4.13418341504689
"23","Araf","Rgs12",4.13318924653822
"24","Ksr1","Map2k2",4.1230392405248
"25","Cldn1","Tjp2",4.0906871601519
"26","Map2k2","Rgs12",4.08458817889186
"27","Jund","Men1",4.05471259643355
"28","Irf7","Nmi",4.05340643450063
"29","Hspa1b","Dnajb4",4.05215943902567
"30","Asap1","Ptk2b",4.0516459747821
"31","Limk1","Rnf6",4.04241765365714
"32","Ksr1","Arhgef2",4.03433708185548
"33","Rxra","Med25",4.00782383013802
"34","Nck1","Tnk2",4.00610198927279
"35","Gbp2","Gbp3",4.006092689453
"36","Canx","Sgip1",3.99720417579942
"37","Runx3","Tbx21",3.99720043544949
"38","Inppl1","Sorbs3",3.99678928438016
"39","Prkcd","Slc1a5",3.98526574717971
"40","Itga6","Itgb1",3.98136118864477
"41","Mapk14","Mapk12",3.97827658534902
"42","Tgfb1","Nrep",3.97429384008524
"43","Cdc42","Pak1",3.97309772479889
"44","Atg5","Atg12",3.97129480029298
"45","Ksr1","Mark3",3.96905095133934
"46","Arhgef1","Hip1r",3.96412289549994
"47","Arhgef1","Unk",3.96412289549971
"48","Notch3","Psen2",3.96008591191003
"49","Akt1","Clip3",3.9553310937024
"50","Rxrb","Tgif1",3.95459147318707
"51","Notch1","Psen2",3.95067271212361
"52","Akt1","Ttc3",3.94751557264476
"53","Arrb1","Agtr1a",3.93782574911711
"54","Nod1","Chordc1",3.93712941047283
"55","Irf1","Pias3",3.93712941047283
"56","Notch1","Eif3f",3.93203930573281
"57","Hsp90aa1","Chordc1",3.93155601273202
"58","Grb2","Kif26a",3.9308926974154
"59","Itgb1","Vegfb",3.92907181874898
"60","Nod1","Hsp90aa1",3.91529628425383
"61","Pla2g4a","Mycbp",3.91398932711513
"62","Cdc42","Dock10",3.91398932711513
"63","Hspa5","Dnaja1",3.91185009407877
"64","Jun","Mafb",3.89776630021038
"65","Arhgef1","Trim8",3.89348572392214
"66","Plcb2","Pola1",3.89347992216994
"67","Fosb","Jun",3.89161008678025
"68","Rfxank","Hdac4",3.88972205417053
"69","Rbck1","Rnf31",3.88835567415799
"70","C1qc","Ly86",3.88353156243602
"71","Limk1","Pxn",3.88348830475866
"72","Cblb","Vav2",3.88348819946509
"73","Dock1","Zhx2",3.88096092661408
"74","Hspa8","Grpel1",3.87746947120831
"75","Ctss","Laptm5",3.87702227828368
"76","B2m","H2-D1",3.8756652646166
"77","Gnai3","Bag6",3.87499242249351
"78","Arrb1","Slc9a1",3.87269355217268
"79","Jun","Jund",3.87186966548006
"80","Hspa8","Dnajb12",3.8711873854536
"81","Map2k4","Mapk8ip3",3.86396062118115
"82","Adcy3","Cav1",3.85808083971278
"83","Tank","Traf1",3.8528549945936
"84","Nfkbib","Rela",3.85220542730713
"85","Arhgef1","Ipo5",3.84241734770058
"86","Rxra","Asxl1",3.84241734770058
"87","Map2k7","Mapk8ip3",3.839295361739
"88","Nck1","Pak1",3.83872941081086
"89","Hspa1b","Grpel1",3.83453863664317
"90","C1qb","Laptm5",3.83049422318231
"91","Pla2g4a","Por",3.82782952767775
"92","Pla2g4a","Prc1",3.82782952767775
"93","Stat2","Appl2",3.82782952767775
"94","Stat2","Zfp36",3.82782952767775
"95","Nfkb2","Rela",3.81858805599745
"96","Arrb1","Yes1",3.80190837124997
"97","Rela","Pias4",3.80116369459301
"98","Pik3r2","S100a10",3.8011577889954
"99","Cdc42","Tnk2",3.79940204253626
"100","C1qb","Ly86",3.79584759010686
"101","Crk","Nedd9",3.79573308292356
"102","Jund","Nfe2l2",3.78887882614026
"103","Irak1","Peli2",3.78525261496611
"104","Limk2","Pxn",3.78494207609901
"105","Actn1","Atp6v1a",3.78491076198497
"106","Nfatc2","Notch4",3.78490684683015
"107","Sharpin","Rbck1",3.78010537359319
"108","Crk","Arhgap33",3.77754237759223
"109","Ctnnb1","Ptprf",3.77521405772768
"110","Sharpin","Asap2",3.76971276112818
"111","C1qb","Ctss",3.76730326905408
"112","Rxra","Tgif1",3.7660023538856
"113","Grb2","Vav2",3.76097756979402
"114","Grb2","Spry4",3.75431217143728
"115","Grb2","Spry1",3.75303387678036
"116","Jun","Junb",3.74891813191448
"117","Sos1","Spry4",3.74840228669063
"118","Sos1","Spry1",3.74840228669063
"119","Grb2","Cpne2",3.74517719323626
"120","Shc1","Brsk1",3.74173484069411
"121","Pxn","Git1",3.73290464287243
"122","Wasf2","Dtnbp1",3.73190528930581
"123","Was","Ipo5",3.72560422361789
"124","Ctss","Ly86",3.72282400580457
"125","Rela","Med16",3.72253480251902
"126","Hspa1b","Bag3",3.71934217581429
"127","Sipa1","Sipa1l3",3.71863521876321
"128","Stat2","Cops4",3.71636511722227
"129","Prkcg","Ldb3",3.71635155550507
"130","Sipa1","Sipa1l2",3.71230420344114
"131","Src","Yes1",3.70138771352254
"132","Ppp1cc","Eif2a",3.69111814314192
"133","Hspa1b","Dnajb12",3.6897503891405
"134","Hspa5","Dnajb4",3.68969079679732
"135","Hspa5","Dnajb12",3.68951212577258
"136","Dnm2","Ptk2",3.6878578526439
"137","Inppl1","Shc1",3.68785593603161
"138","Fga","Fgg",3.68775044118979
"139","Prkcd","Ldb3",3.68762468467185
"140","Pxn","Pdlim7",3.68364355738436
"141","Grb2","Met",3.68110181163411
"142","Sharpin","Rnf31",3.67889645736295
"143","Grb2","Tek",3.67795650309358
"144","B2m","Desi1",3.67432080710182
"145","Cdc42","Arhgap33",3.67428178549676
"146","Pxn","Ldb3",3.67346074743841
"147","Was","Syvn1",3.67169633544086
"148","Irf1","Polr2a",3.67169633544086
"149","Hspa5","Grpel1",3.6623181403761
"150","Pxn","Zhx2",3.66152236278504
"151","Actn1","Actn2",3.65458607055325
"152","Ctss","Lyz2",3.65321692754083
"153","Plcg1","Sos1",3.6404142761362
"154","Grb2","Spry2",3.63765090424795
"155","Ptk2","Nrp1",3.63746442976549
"156","Nck1","Pik3ap1",3.63746442976549
"157","Sos1","Spry2",3.6374540617096
"158","Ppp1cc","Gsk3a",3.63067119281004
"159","Hsp90b1","Uqcrc2",3.62949026809133
"160","Hspa1b","Dnajc10",3.62857994792375
"161","Hspa8","Dnajc10",3.62616368929571
"162","Plcg1","Stk11",3.61517539738225
"163","Grb2","Shank3",3.61054370087732
"164","Arrb1","Arrb2",3.60988463049716
"165","Cdc42","Cit",3.60456680139214
"166","Nck1","Map2k2",3.60456680139214
"167","Il1r1","Irak1",3.60411035039783
"168","Cblb","Psmd6",3.5943391899948
"169","Tap1","Tap2",3.58952624090375
"170","Smad2","Sf3b2",3.58440290287831
"171","Smad2","Pex6",3.58440290287831
"172","Psme3","Psma5",3.5843955658313
"173","Irak1","S100a10",3.58058780773354
"174","Itgb1","Wasl",3.58047505489913
"175","Nck1","Was",3.5773576915426
"176","Pxn","Zyx",3.57524162653385
"177","Calm3","Tcp1",3.57471836939976
"178","Calm1","Tcp1",3.57471836939976
"179","Calm2","Tcp1",3.57471836939976
"180","Pak1","Pxn",3.57278987708196
"181","Rapgef3","Rapgefl1",3.57210944926669
"182","Ctnnb1","Tcf7l2",3.5715822738016
"183","C1qc","Ctss",3.56783536112857
"184","Ctnnb1","Tcf7l1",3.56422349275226
"185","Grb2","Sos1",3.55848831864932
"186","Sharpin","Psmd1",3.55266911454692
"187","Nfatc1","Cblb",3.55266911454692
"188","Cblb","Psmd1",3.55266911454692
"189","Ctnnb1","Lef1",3.55067160211274
"190","Shc1","Sos1",3.55059036888224
"191","Ptk2","Wasl",3.54734287108067
"192","Mapk14","Copb1",3.54215075052389
"193","Arhgef1","Arhgef11",3.54135578399041
"194","Hspa1b","Lox",3.53873713744883
"195","Ctss","Lyz1",3.52767902837013
"196","Ptk2","Pxn",3.51878314715304
"197","Limk1","Ssh3",3.51579374185212
"198","Csf1","Src",3.51246103906215
"199","Crk","Stam2",3.51239331504462
"200","Grb2","Pik3ap1",3.50608558641648
"201","Hspa8","Bag3",3.4909040702089
"202","Notch1","Notch4",3.4905784543098
"203","Ctsk","4930486L24Rik",3.47977263760481
"204","Ctsk","Ctss",3.47802037344309
"205","Ptk2b","Src",3.47765706982
"206","Nck1","Cblb",3.47688953510919
"207","Shc1","Tuba4a",3.47338487396905
"208","Jak3","Lepr",3.47003347881878
"209","Psme3","Tcf3",3.46377748538225
"210","Ctsl","4930486L24Rik",3.45738574041957
"211","Irak1","Anxa1",3.45542035377889
"212","Hspa1b","Ighmbp2",3.45400976028031
"213","Stim1","Cracr2a",3.44383349771624
"214","Rara","Rps5",3.44361144403274
"215","Rara","Med25",3.44361144403274
"216","Nfatc1","Ep300",3.43562887751136
"217","Src","Arrb2",3.42848922725238
"218","Stim1","Saraf",3.42743323291211
"219","Irf4","Prrc2b",3.42345216803346
"220","Amph","Bin2",3.4218719029459
"221","Akt1","Arrb2",3.40952878828739
"222","Notch1","Notch3",3.40869039512813
"223","Creb1","Jun",3.40860519789544
"224","Nfatc1","Src",3.40604049259127
"225","Crk","Plec",3.40597136202996
"226","Creb1","Hdac4",3.40122431471195
"227","Akt1","Hsp90aa1",3.39749786118614
"228","Cdc42","Vamp2",3.38882663075037
"229","Arhgef1","Arhgef16",3.38634423573967
"230","Pxn","Lims2",3.38135410665086
"231","Ctsl","Ctss",3.37136187613146
"232","Pxn","Lpp",3.37059802281942
"233","C1qa","Ly86",3.36941137804661
"234","Rara","Rps4x",3.36357759694511
"235","Ctsk","Ctsl",3.36067881588929
"236","Shc1","Tax1bp1",3.34871610380355
"237","Arrb1","Nfe2l2",3.34870151796167
"238","Gnai3","Gnao1",3.34662864757729
"239","Serping1","C1s1",3.34597597381571
"240","Gbp2","Gbp9",3.34537826186261
"241","C1qc","Laptm5",3.34030921925751
"242","Dnm2","Grb2",3.33777682029108
"243","Map2k4","Map2k7",3.3372611715406
"244","Cebpb","Mapk14",3.33561000198529
"245","Crk","Pxn",3.33073023065822
"246","Cd86","Ubc",3.3278446236975
"247","Gbp2","Irf1",3.32562247161786
"248","Crk","Pik3r2",3.32294373188347
"249","Ptk2","Src",3.3152864008548
"250","Asap1","Asap2",3.30433629270874
"251","C1qb","Fcgr3",3.29919146852194
"252","Crk","Myc",3.29873202392241
"253","Akt1","Src",3.29805140077315
"254","Rara","Snw1",3.29718658753541
"255","Rara","Tgif1",3.29718658753541
"256","H2-D1","H2-Q7",3.28785703549147
"257","Relb","Commd8",3.28378922964293
"258","Hspa8","Mapt",3.28350223266807
"259","H2-D1","Tap2",3.28316683679463
"260","Akt1","Insr",3.28189967297067
"261","Cldn1","Mmp14",3.2740690881742
"262","Hspa8","Kdm2b",3.27208798160518
"263","Ctss","4930486L24Rik",3.27132339484797
"264","Cd3e","Lag3",3.26901295206426
"265","Fosb","Jund",3.26486460522733
"266","Ctnnb1","Neurl2",3.26425629490154
"267","C1qa","Lyz2",3.25968947902015
"268","Bcl3","Relb",3.25343984881579
"269","Relb","Commd2",3.25342321724315
"270","Cfd","Retn",3.24762075367812
"271","Hspa5","Ern1",3.24653150234485
"272","Actn1","Sptb",3.24489493753663
"273","Pld2","Rptor",3.23780508328673
"274","C1qb","Lyz2",3.23734637750476
"275","Hspa8","Rpl27a",3.23583688621784
"276","Cdc42","Lrrk2",3.23062846711878
"277","C1qc","Fcgr3",3.22566879379679
"278","Pxn","Src",3.22041340542523
"279","C1qa","Ctss",3.21174268452978
"280","Jun","Rela",3.21139755370223
"281","Gsk3a","Gskip",3.21039740825222
"282","Arrb1","Src",3.20677022940549
"283","Cebpb","Ep300",3.20468408342299
"284","Gnai3","Gnb4",3.20411632502487
"285","Kitl","Clec11a",3.20022141512027
"286","Arrb1","Akt1",3.19963400104325
"287","Ptk2","Grb2",3.19938546823687
"288","Ctsb","Ivd",3.19591931111222
"289","Irak1","Tlr4",3.19419553261878
"290","Cfd","Car3",3.19025256979353
"291","Rara","Fus",3.1900537023821
"292","Mme","Phex",3.18800904931118
"293","Stat2","Ddx58",3.18578422465089
"294","Cblb","Tlr4",3.18427518233966
"295","Cdc42","Pard6g",3.17687314895261
"296","Cd36","Hsd11b1",3.16402845094194
"297","H2-D1","Tap1",3.16245426216642
"298","Actn1","Myh7",3.15844952851876
"299","Cdc42","Pard6b",3.15342903715214
"300","Tlr3","Tril",3.15279051725952
"301","Src","Ptpn21",3.15225924049969
"302","Ctnnb1","Cops2",3.14766913873518
"303","Cd81","Cd82",3.14715360831792
"304","Ctss","Grn",3.14569243971005
"305","Rara","Rps3",3.14526154522969
"306","Hspa8","Nphp3",3.14504160046476
"307","Notch3","Notch4",3.14416585957724
"308","Crk","Dvl2",3.14376705377367
"309","Jun","Ets2",3.14055781638922
"310","Hsp90aa1","Lrrk2",3.13513200177113
"311","Ctnnb1","Bcl9l",3.13064486720054
"312","C1qb","Lrp1",3.12787068937064
"313","Crk","Cblb",3.12785934841418
"314","Cblb","Spry2",3.12477868926385
"315","Hspa5","Prnp",3.12210388339645
"316","Hspa8","Rps4x",3.1188045910144
"317","Ppp1cc","Stx1a",3.11777970123308
"318","Ctnnb1","Csnk1e",3.11498374318444
"319","Oas3","Irf7",3.11014139832173
"320","Bcl3","Ubc",3.10333588495178
"321","Flt3l","Kitl",3.10159042481064
"322","C1qc","Lyz2",3.10067438372334
"323","Shc1","Src",3.09883602581567
"324","Rela","Ep300",3.09871002834666
"325","Grb2","Plcg1",3.09810619884297
"326","Actn1","Plec",3.09342770998205
"327","Cdc42","Cdc42bpb",3.09124749475086
"328","Mapk7","Pfdn1",3.09051119457536
"329","Nlrx1","Spns1",3.08779304118025
"330","Fosb","Fosl2",3.0868454027077
"331","Itga6","Lama5",3.084738484951
"332","Hsp90b1","Pdia6",3.08196727247901
"333","Ctnnb1","Crebbp",3.08044372651261
"334","Pak1","Git1",3.08040279245415
"335","Hsp90aa1","Ahsa1",3.07682821272283
"336","Calm2","Nphp1",3.07177022574001
"337","Calm1","Nphp1",3.07177022574001
"338","Calm3","Nphp1",3.07177022574001
"339","Akt1","Foxo1",3.0693014775502
"340","Prex1","Rptor",3.06838904658434
"341","Rara","Sfpq",3.06765786530377
"342","Hsp90aa1","Plk1",3.06699864902748
"343","Grb2","Cblb",3.06235862782842
"344","Oas3","Zfp622",3.06148770917252
"345","Ctnnb1","Pard3",3.05736178415168
"346","Jam2","Jam3",3.0569891302971
"347","Arhgef1","Akap13",3.05342490929138
"348","Grb2","Pdcd6ip",3.050128370641
"349","Cblb","Spry1",3.04906620225938
"350","Actn1","Macf1",3.04624601213845
"351","Gabarap","Atg4b",3.04514246359781
"352","C1qa","Adgre1",3.04495675378871
"353","Gbp2","Gbp4",3.04170071762655
"354","Gnai3","Slc7a5",3.04030822010054
"355","Pxn","Slc7a5",3.03910191019668
"356","Nck1","Tnik",3.0384272392339
"357","Ctnnb1","Bcl9",3.03808158703737
"358","Src","Was",3.03671462980446
"359","Sphk1","Sphk2",3.03562026843656
"360","C1qc","Adgre1",3.03417041440935
"361","Cdc42","Fmnl1",3.0298382533997
"362","Nck1","Mink1",3.02831920709582
"363","Ddx58","Oas2",3.02583608835721
"364","Gbp2","Nmi",3.02442147276588
"365","Hspa5","Mks1",3.02280494871798
"366","Rela","Commd8",3.01877552607607
"367","Calm1","Pfkp",3.00876416082201
"368","Calm3","Pfkp",3.00876416082201
"369","Calm2","Pfkp",3.00876416082201
"370","Ppp1cc","Skp1a",3.0061402806657
"371","Rara","Nono",3.00183101108291
"372","Map2k3","Map2k4",3.00020135917134
"373","Hspa8","Hsp90aa1",2.99680358697947
"374","Actn1","Slc25a3",2.9909840473822
"375","Jag2","Notch1",2.98732564468241
"376","Src","Srcin1",2.98371309590675
"377","Stat2","Znfx1",2.97981423790748
"378","Hspa1b","Ppp1cc",2.97886138226863
"379","Notch1","Smarca4",2.97406342190493
"380","C3ar1","Ctss",2.97193760550272
"381","Cdc42","Pak4",2.96797319674056
"382","Runx3","Brd2",2.9617362648421
"383","Sos1","Rapgefl1",2.96124439659593
"384","Rela","Commd2",2.95973256306684
"385","Arrb1","Ccr2",2.95946651488543
"386","Hspa5","Sec61a2",2.95818644632823
"387","B2m","Ubc",2.95670942922561
"388","Gata3","Ubc",2.95670942922561
"389","Il1r1","Map3k14",2.95333101804363
"390","Was","Actr2",2.95277070732686
"391","Pecam1","Ptpn18",2.93706364633704
"392","Canx","Extl2",2.93563572769995
"393","Limk1","Dstn",2.93532880392877
"394","Jag2","Neurl1b",2.93532880392877
"395","Hsp90aa1","Pola1",2.93500265581656
"396","Calm2","Myo7a",2.93376616799446
"397","Calm1","Ubr4",2.93376616799446
"398","Calm1","Myo7a",2.93376616799446
"399","Calm3","Ubr4",2.93376616799446
"400","Calm3","Myo7a",2.93376616799446
"401","Calm2","Ubr4",2.93376616799446
"402","Jund","Ets2",2.9316602369704
"403","Ctnnb1","Rela",2.93097427278076
"404","Nck1","Robo2",2.93044400756821
"405","Grb2","Ros1",2.92610316864602
"406","Actn1","Myh6",2.92447840522118
"407","Akt1","Runx2",2.92434864278948
"408","Akt1","Pak1",2.91988822470307
"409","Itga3","Lama5",2.91703177696354
"410","Hsp90aa1","Hspe1",2.91517426898258
"411","Relb","Sumo3",2.9142269462684
"412","Ctnnb1","Csnk1a1",2.91089729228702
"413","C1qb","C3ar1",2.91020904960146
"414","Gata3","Foxk1",2.90980575102344
"415","Ptk2","Ptk2b",2.90864327712825
"416","Cd9","Ptgfrn",2.90825573475877
"417","Anpep","Tm4sf1",2.90823081452822
"418","Pxn","Sh3bp1",2.90348544526114
"419","Pxn","Tomm70a",2.90240840554839
"420","Relb","Ep300",2.90229175817217
"421","C3ar1","Adgre1",2.89898583619629
"422","Relb","Ube2i",2.89799289828738
"423","Itga6","Lamb2",2.89652819659159
"424","Smad2","Tgif1",2.89108914631129
"425","Rela","Commd6",2.88384103894873
"426","Hsp90aa1","Nphp1",2.88275170678116
"427","Ctnnb1","Ep300",2.87541109186327
"428","Ppp1cc","Wdr82",2.87402263919671
"429","C1qa","Fcgr3",2.86879623445975
"430","Gbp2","Ifit2",2.86826682435571
"431","C1qb","Lyz1",2.86669197984338
"432","Actn1","Pdlim1",2.86609340986888
"433","Stat2","Trafd1",2.86477607934785
"434","Gata3","Cyp2d22",2.86288426275473
"435","Ddx58","Oas3",2.86213522433286
"436","Gata3","Pde8a",2.86208856097892
"437","Cd86","March8",2.86140873430281
"438","Jun","Nfatc2",2.86070356394475
"439","Hspa8","Mks1",2.85928651333961
"440","Rapgef3","Rasgef1a",2.85873567506383
"441","Gata3","Slc7a5",2.8553305945577
"442","Ddx58","Irf7",2.85499588691346
"443","Cfd","Hdhd2",2.85176175066294
"444","Tfrc","Sppl2b",2.85174516349934
"445","Gata3","Ldb3",2.84941658029607
"446","Irf1","Ubc",2.84690663186643
"447","Itga5","Ubc",2.84690663186643
"448","Hspa5","Nphp1",2.84590712345198
"449","B2m","Tap2",2.83954034442695
"450","Dock1","Tanc1",2.83709272667261
"451","Nck1","Ptpn1",2.83453858920484
"452","Bcl3","Rela",2.83441606064162
"453","Oas3","Hectd3",2.83304928732605
"454","Cdc42","Pold1",2.83248380593477
"455","Hspa8","Hspe1",2.83247197799051
"456","Hspa5","Exoc3",2.83241875215367
"457","Pxn","Arhgap33",2.83115307961612
"458","Pxn","Prickle3",2.82963765286968
"459","Pxn","Magt1",2.82408354206905
"460","Ddx58","Hectd3",2.82265817246071
"461","Gata3","Rapgefl1",2.82056283878728
"462","Grb2","Shc1",2.81716953303749
"463","Plcb3","Pard3",2.81353841279929
"464","Mapk12","Mapk15",2.80974096844898
"465","Tank","Apba3",2.80544038802259
"466","Pak1","Pold1",2.80327681167591
"467","Ddx58","Atg12",2.79914940438675
"468","Pak1","Map2k2",2.79811838358796
"469","Actn1","Dld",2.79516546030413
"470","Il6ra","Erap1",2.79459781957144
"471","Pak1","Fmnl1",2.79198495650894
"472","C1qa","Laptm5",2.78993233734013
"473","Ctnnb1","Jup",2.78821250164606
"474","Ddx58","Tmem173",2.78797902613496
"475","Ppp1cc","Cpsf4",2.78700454671457
"476","C6","Hc",2.78653970926325
"477","Stat2","Tap1",2.78370557693484
"478","Notch1","Rfng",2.78110745112485
"479","Map2k2","Map2k7",2.77964742362497
"480","Ppp1cc","Fip1l1",2.77444793105519
"481","Ctss","Fcgr3",2.77317855521801
"482","Ppp1cc","Cpsf1",2.77301109050336
"483","Ctnnb1","Lrrk2",2.76536429346265
"484","Cd81","Adgrg1",2.76240075850592
"485","C1qb","Adgre1",2.76046865070725
"486","Asap2","Thsd7a",2.75964980768595
"487","Cblb","Spry4",2.75796576027847
"488","Tlr4","Defb4",2.75595772008046
"489","Prkcg","Myh10",2.75489307924317
"490","Map2k3","Zfp622",2.75381053295177
"491","Gnai3","Gpsm1",2.7524921796296
"492","Ctnnb1","Jun",2.75139945018009
"493","Was","Wasl",2.75136908819491
"494","Gata3","Hoxb3",2.74690524194898
"495","Irf4","Peg10",2.7442586037339
"496","Sos1","Rapgef5",2.7412611825157
"497","Map2k3","Rps6ka4",2.73800349125599
"498","Ctnnb1","Osbp",2.73739070819761
"499","Hspa5","Hspa8",2.7358977905069
"500","Atg12","Tecpr1",2.73227848300621
"501","Crk","Grb2",2.73101868484036
"502","Gata3","Hhex",2.73009775500941
"503","Ctss","H2-Aa",2.72690024812732
"504","Pak1","Por",2.72320630593231
"505","Cdc42","Rab8b",2.72121028898391
"506","Cd81","Ptgfrn",2.72016665489127
"507","Nfatc2","Tnpo1",2.71907875534089
"508","Gata3","Lims2",2.71889728315227
"509","C3ar1","Fcgr3",2.71796330487541
"510","Cd9","Igsf8",2.71742232060751
"511","Nfkb2","Commd2",2.71208333023628
"512","Sos1","Rapgef3",2.71087209423058
"513","Jund","Irf2bp1",2.70897798023998
"514","Gata3","Pdlim7",2.70477079138868
"515","Hspa8","Hspd1",2.70225868740704
"516","Calm2","Dennd4b",2.70215689173347
"517","Calm1","Dennd4b",2.70215689173347
"518","Calm3","Dennd4b",2.70215689173347
"519","Hspa5","Ttc27",2.69349161468404
"520","Nfatc1","Ubc",2.685915820133
"521","Psme3","Fbxl19",2.68081768449565
"522","Canx","Hsp90b1",2.67989398495502
"523","Rapgef3","Arhgap26",2.67685872233915
"524","Serping1","Serpina9",2.67648887741188
"525","Nck1","Sorbs3",2.67594386243195
"526","Nod1","Nlrc3",2.67403976883543
"527","Atg5","Tecpr1",2.67396518420514
"528","Was","Pi4k2a",2.67382453419464
"529","Hspa5","Ube2g2",2.67317419480537
"530","Hspa1b","Rara",2.67296557416694
"531","Hspa8","Nphp1",2.67290526152283
"532","Grk6","Rpe",2.67290312892874
"533","C1qb","Ms4a6c",2.6717172083886
"534","C1qb","H2-Aa",2.6711193057638
"535","B2m","Fth1",2.6685135890682
"536","Gbp2","Isg20",2.6639597820033
"537","Irf4","Carm1",2.66208867543287
"538","Gata3","Pxn",2.65818940536565
"539","Msn","Tmsb4x",2.6578703832954
"540","Atg12","Atg16l2",2.65667948431383
"541","Cd36","Lpl",2.65658273323629
"542","Ctss","Serpinb3a",2.65425877501934
"543","Rapgef3","Pdlim7",2.65216641786424
"544","Jun","Maz",2.65204359564791
"545","C1qa","Lyz1",2.65122245220482
"546","Actn1","Ldb3",2.65103829759641
"547","Limk2","Rpe",2.63926549543044
"548","Stat2","Irf7",2.63818289298956
"549","Gata3","Rfx2",2.63735654217635
"550","Msn","Tpm4",2.63710824306645
"551","Gbp2","H2-D1",2.63693473777857
"552","Pxn","Arhgap26",2.63539387890978
"553","C1qc","Lrp1",2.63476168799798
"554","C1qa","Lrp1",2.63476168799798
"555","Ptk2","Mal",2.63224677028256
"556","Ctsb","Tinag",2.63048672459695
"557","Tap1","Irf7",2.62949989639583
"558","Itga5","Itgb1",2.62793963019976
"559","Jag2","Mib2",2.6275623415022
"560","Tfrc","Sppl2a",2.62754596547279
"561","Rasgrp2","Rapgef5",2.62641252242793
"562","Gata3","Rnf157",2.62011395110903
"563","Adcy4","Adcy3",2.61676424397479
"564","Ppp1cc","Ppp6c",2.61603465059898
"565","Grb2","Prnp",2.61551757931784
"566","Gata3","Smarcd1",2.61391158848528
"567","Hsp90aa1","Sept7",2.61130628862884
"568","Pxn","Arhgap17",2.60970984013261
"569","Hspa5","Sec23b",2.60918900933689
"570","Hsp90aa1","Dnajb4",2.60900351505575
"571","Gnai3","Pdlim7",2.60813711297533
"572","Gata3","Rarg",2.60804136804313
"573","Tfrc","Naalad2",2.60567284194076
"574","Rapgef3","Dgkd",2.60554569476244
"575","Cd55","Muc5b",2.60196944038421
"576","Actn1","Dlat",2.60155048580555
"577","Cd36","Col4a1",2.60046577444291
"578","Cd36","Col4a2",2.60046577444291
