"","Source","Target","Score"
"1","H2-Aa","H2-Eb1",4.68960588946834
"2","Polr2e","Polr2f",4.59605500518887
"3","Polr2h","Polr2e",4.58434431099681
"4","Polr2e","Polr2g",4.54751883169524
"5","Calr","Pdia3",4.52895471820671
"6","Fcer1g","Tyrobp",4.52553671544024
"7","Polr2f","Polr2i",4.52114368657544
"8","Polr2h","Polr2f",4.51262373592499
"9","Arpc1a","Arpc2",4.51014108253412
"10","Arpc1b","Arpc2",4.50134489938637
"11","Cd79a","Cd79b",4.49835778305874
"12","Arpc3","Arpc5l",4.49701278206521
"13","Arpc1b","Actr2",4.49543845927769
"14","Arpc1a","Actr2",4.49414545680133
"15","Arpc5l","Arpc2",4.49115733620965
"16","Actr2","Arpc2",4.48774742097976
"17","Polr2h","Polr2i",4.48765281615192
"18","Polr1c","Polr2e",4.48717788265139
"19","Arpc3","Arpc2",4.48549866388817
"20","Polr1c","Polr3h",4.48443101958856
"21","Prkaca","Pde4d",4.48296922236796
"22","Polr2e","Polr2i",4.47709840696825
"23","Arpc3","Actr2",4.47612454378213
"24","Arpc1a","Arpc5",4.47188021176112
"25","Arpc3","Arpc5",4.47032313559703
"26","Cd8a","Cd8b1",4.46643183845526
"27","Arpc5","Arpc2",4.46638349914519
"28","Actr2","Arpc5",4.45423469357047
"29","Polr1c","Polr2f",4.44995587972357
"30","Arpc1b","Arpc3",4.44596838833377
"31","Arpc1b","Arpc5",4.42937900156585
"32","Polr1c","Polr1b",4.42215294210268
"33","Arpc1a","Arpc5l",4.41707311304026
"34","Actr2","Arpc5l",4.41241900094042
"35","Arpc3","Arpc1a",4.41029429156606
"36","Arpc1b","Arpc5l",4.38614889991572
"37","Polr1c","Polr2h",4.37864646554726
"38","Polr1c","Polr2j",4.34329240721581
"39","Polr3e","Polr3h",4.3274655577809
"40","Polr1c","Polr1d",4.32534232815601
"41","Hspa8","Dnaja2",4.3105064022418
"42","Rock1","Rnd3",4.29287658148314
"43","B2m","Tap1",4.28465139155423
"44","Mtor","Rptor",4.28184892451759
"45","Limk1","Limk2",4.28050787261418
"46","Gata3","Sox4",4.27626545943667
"47","Calr","Hsp90b1",4.26653912892084
"48","Actb","Eef1a1",4.26219178756742
"49","Polr2e","Polr3h",4.26078500077119
"50","Polr2e","Polr2d",4.2574073822409
"51","Vamp8","Stx17",4.25307160812577
"52","Hspa5","Hsp90b1",4.24892330081866
"53","Gnaq","Rgs18",4.24238712838837
"54","Tyrobp","Clec5a",4.23829856242946
"55","Elmo1","Dock1",4.23172488042178
"56","Polr1c","Polr1e",4.2268056200835
"57","Hspa8","Dnajb4",4.22198737389431
"58","Rora","Atxn1",4.21884327859993
"59","Rxrb","Vdr",4.21812098937698
"60","Gnai3","Rgs18",4.21498553582956
"61","Polr1d","Polr2e",4.21489802800693
"62","Hspa5","Dnajc10",4.20521614078143
"63","Hspa8","Dnaja1",4.20166509918067
"64","Cdh5","Ptprb",4.20031898390926
"65","Atg5","Atg16l1",4.19748421406848
"66","Nlrc4","Pycard",4.19707533814744
"67","Hspa5","Manf",4.19415852242787
"68","Casp1","Nlrc4",4.1916601998937
"69","Flt3","Fiz1",4.18928494552347
"70","Prkci","Frs2",4.18796762544616
"71","Was","Arpc3",4.18741145556783
"72","Jag2","Notch2",4.18575509525726
"73","Irf9","Stat2",4.18148462739259
"74","Cdk4","Cdkn2d",4.17873150686069
"75","Vasp","Apbb1ip",4.16932708643662
"76","Il6st","Lifr",4.15497437304202
"77","Col3a1","Col1a1",4.14955734939053
"78","Rnf31","Otulin",4.14760618588434
"79","Cd8a","Lck",4.14604012883342
"80","Dll1","Neurl1a",4.14299280663226
"81","Hspa8","Hsph1",4.14248047523392
"82","Rxra","Zfp423",4.14247005243783
"83","Atg5","Wdfy3",4.14202069530779
"84","Hspa1b","Dnajb1",4.14007833100686
"85","Ywhae","Ywhab",4.12518761181491
"86","Ksr1","Map2k2",4.1230392405248
"87","Polr2h","Znrd1",4.1200554722152
"88","Ywhae","Ywhaz",4.11292648247309
"89","Atg12","Atg3",4.11114394621154
"90","Polr1d","Polr3h",4.10540792835513
"91","Pdia3","P4hb",4.09512665468287
"92","Lck","Sh2d2a",4.08306671425134
"93","Ptprc","Cd52",4.07330596669726
"94","Calr","Tkt",4.07245735717242
"95","Plcg1","Vil1",4.06738245314409
"96","Xiap","Casp3",4.06410108628143
"97","Xiap","Diablo",4.06368437190281
"98","Arpc5","Arpc5l",4.05980759830368
"99","Hspa8","Hspa9",4.05929169683532
"100","Was","Arpc2",4.0578425391675
"101","Hspa8","Dnajb1",4.05574873431055
"102","Pin1","Gphn",4.05545486368919
