Heart_eGFP_1	Heart_eGFP_2	Heart_eGFP_4	Heart_eGFP_5	Heart_hACE2_6	Heart_hACE2_8	Heart_hACE2_9	Heart_hACE2_10	Kidney_eGFP_1	Kidney_eGFP_2	Kidney_eGFP_3	Kidney_eGFP_5	Kidney_hACE2_8	Kidney_hACE2_9	Kidney_hACE2_10	Lung_eGFP_2	Lung_eGFP_4	Lung_eGFP_5	Lung_hACE2_6	Lung_hACE2_8	Lung_hACE2_10	Spleen_eGFP_1	Spleen_eGFP_2	Spleen_eGFP_4	Spleen_eGFP_5	Spleen_hACE2_6	Spleen_hACE2_8	Spleen_hACE2_9	Spleen_hACE2_10
0610005C13Rik	6	6	2	6	3	8	9	5	2359	2918	2837	2614	3960	4347	3547	0	0	0	1	0	1	1	1	0	0	1	21	6	14
0610006L08Rik	1	0	0	0	0	0	0	0	507	626	474	547	436	411	265	0	0	0	0	0	0	0	0	0	0	0	4	2	2
0610007P14Rik	91	98	96	72	69	97	111	101	676	833	779	748	622	541	432	566	560	526	346	461	365	505	792	775	688	483	578	485	561
0610009B22Rik	342	392	368	385	255	298	387	367	720	897	802	763	574	603	499	193	222	220	195	237	154	151	211	187	195	115	164	118	158
0610009E02Rik	8	11	14	8	17	20	20	18	40	45	31	32	28	29	37	16	11	15	23	15	18	3	11	7	3	11	9	5	6
0610009L18Rik	32	50	65	50	57	43	85	55	32	31	40	26	21	20	18	32	21	26	28	41	14	18	41	31	30	27	27	43	25
0610009O20Rik	2408	2594	2688	3024	2521	3393	3908	4139	1198	1556	1519	1234	1446	1452	1178	1027	722	815	1106	1408	1043	622	670	668	654	867	1062	845	1021
0610010F05Rik	166	210	222	235	193	205	243	220	256	359	369	347	281	311	295	468	444	521	557	404	484	238	353	311	279	276	273	271	321
0610010K14Rik	11	17	7	9	11	7	21	21	13	17	14	7	25	33	23	16	13	18	63	36	41	32	46	54	49	73	63	54	71
0610012D04Rik	5	1	3	3	2	6	4	1	0	0	0	0	0	0	0	3	1	0	2	2	0	1	0	1	0	1	0	1	0
0610012G03Rik	523	593	620	610	478	669	761	778	478	610	613	553	466	477	375	198	198	215	204	285	178	193	288	308	257	219	252	170	273
0610025J13Rik	7	11	9	9	10	8	14	11	10	14	4	6	6	8	5	1	0	1	5	6	5	1	0	0	1	0	0	0	0
0610030E20Rik	245	314	306	283	380	477	721	605	653	791	759	575	999	1219	961	857	693	725	1652	1169	1472	1507	1498	1683	1440	2343	2633	2426	2756
0610031O16Rik	0	0	0	2	1	0	2	1	186	313	205	160	181	88	60	0	0	0	0	0	0	0	0	0	0	1	2	0	0
