CM_D1_cov2_1	CM_D1_cov2_2	CM_D1_cov2_3	CM_D1_Mock_1	CM_D1_Mock_2	CM_D1_Mock_3	CM_D2_cov2_1	CM_D2_cov2_2	CM_D2_cov2_3	CM_D2_Mock_1	CM_D2_Mock_2	CM_D2_Mock_3
5S_rRNA	3	3	5	1	0	1	0	0	0	0	0	0
7SK	0	0	0	0	0	0	0	0	1	0	0	0
A1BG	2	3	1	2	16	14	1	1	0	5	11	4
A1BG-AS1	44	32	40	181	156	144	13	4	7	97	94	114
A1CF	41	45	58	105	83	71	248	212	220	140	148	156
A2M	441	517	566	2991	2894	2635	406	508	403	1796	1697	1803
A2M-AS1	25	20	21	107	117	118	0	2	3	80	91	118
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	49	56	52	172	199	184	8	16	15	212	181	174
A4GNT	3	6	1	8	5	9	1	2	1	2	6	6
AAAS	383	402	378	2311	2215	2089	159	189	224	1052	974	1096
AACS	305	378	380	842	930	844	167	167	184	471	445	515
AACSP1	9	16	1	16	31	21	4	4	7	16	20	21
AADAC	0	0	0	1	2	1	0	0	0	0	1	1
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	4	19	4	1	0	0	18	7	22
AADACP1	0	0	1	0	0	0	0	0	0	0	0	1
AADAT	103	99	117	481	532	445	19	25	18	218	197	209
AAED1	79	105	80	272	269	236	23	31	39	137	130	128
AAGAB	314	321	356	1823	1700	1635	176	174	178	715	687	819
AAK1	362	483	452	1539	1583	1143	174	306	242	729	758	857
AAMDC	75	71	80	580	531	529	59	54	57	261	281	298
AAMP	581	746	693	4445	4103	3978	396	517	485	1878	2048	2300
AANAT	0	1	2	3	9	4	0	0	0	0	3	0
AAR2	472	551	546	1823	1784	1659	168	199	216	694	747	844
AARD	6	10	6	64	67	45	0	0	0	34	19	18
AARS	722	1026	1027	2409	2394	2199	741	806	855	1374	1298	1588
AARS2	217	262	333	870	944	862	74	79	93	415	441	512
AARSD1	13	4	10	15	21	15	0	5	2	12	16	21
AASDH	127	171	144	352	361	308	129	134	138	277	277	300
AASDHPPT	611	650	651	2735	2652	2312	217	239	227	1503	1476	1599
AASS	262	311	313	1107	1100	889	141	189	136	815	944	998
AATBC	0	0	0	0	0	1	0	0	0	0	0	0
AATF	399	440	451	1567	1535	1525	212	268	225	725	702	877
AATK	25	32	27	97	142	143	14	13	20	67	90	91
AATK-AS1	0	0	0	0	2	3	1	0	0	3	4	2
AB015752.1	0	0	3	2	2	2	9	8	4	2	0	1
ABALON	0	1	0	1	0	0	2	1	0	0	0	3
ABAT	290	318	335	2751	2922	2394	106	95	96	1106	1210	1267
ABBA01031674.1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA1	648	944	812	1149	1091	959	343	507	345	407	413	484
ABCA10	0	2	1	3	3	5	2	2	4	0	2	2
ABCA11P	5	14	15	13	17	17	5	3	2	8	10	17
ABCA12	4	1	0	0	2	2	0	1	1	1	2	0
ABCA13	1	3	4	14	16	9	0	0	1	12	11	16
ABCA17P	1	0	2	5	3	10	0	1	1	5	2	2
ABCA2	238	268	311	974	971	977	175	230	220	628	548	563
ABCA3	80	90	93	430	371	428	29	27	30	211	197	219
ABCA4	2	2	3	1	1	6	6	1	1	1	1	5
ABCA5	19	25	13	97	112	97	27	34	17	73	79	83
ABCA6	1	3	3	3	2	4	0	2	0	0	0	0
ABCA7	144	186	190	505	407	553	95	120	126	313	316	343
ABCA8	150	156	151	832	888	726	33	38	50	451	544	595
ABCA9	2	2	1	2	4	1	1	0	0	0	1	2
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	2	4	4	8	14	10	2	0	1	9	3	13
ABCB10	138	193	150	687	635	473	78	59	68	249	246	301
ABCB10P1	0	0	0	7	0	2	0	0	0	0	2	0
ABCB10P4	0	1	0	0	0	0	0	0	0	0	1	0
ABCB11	3	2	3	19	18	16	0	0	0	11	7	14
ABCB4	63	71	90	168	154	139	18	32	20	152	110	143
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	4	2	6	15	13	18	5	13	7	6	13	4
ABCB7	220	224	249	1182	1157	1118	162	193	207	639	643	770
ABCB8	117	143	129	608	614	584	39	61	64	275	327	297
ABCB9	25	57	58	192	151	175	8	17	15	116	88	66
ABCC1	552	685	723	1051	1043	1037	403	630	550	692	658	687
ABCC10	71	113	127	499	432	379	62	65	71	226	228	262
ABCC11	0	2	1	10	15	9	0	2	1	0	1	3
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	28	31	36	44	53	30	113	108	113	70	77	93
ABCC3	0	1	3	11	3	18	3	8	6	9	5	8
ABCC4	37	44	52	156	137	134	44	45	41	77	63	85
ABCC5	532	693	610	2409	2292	1905	232	301	245	1280	1433	1609
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	25	46	34	88	80	108	36	34	44	67	81	79
ABCC6P1	8	8	23	21	45	31	21	16	13	24	19	28
ABCC6P2	1	6	1	7	10	15	2	1	3	6	13	7
ABCC8	12	31	19	58	50	29	3	4	6	27	29	27
ABCC9	65	79	64	395	385	287	9	17	8	193	221	260
ABCD1	66	105	88	301	260	300	55	60	71	162	142	179
ABCD1P2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0	1	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	1	1	4	17	11	9	1	0	1	4	3	5
ABCD3	361	531	485	1506	1737	1421	299	320	298	811	849	919
ABCD4	203	314	320	1149	1115	1054	143	149	159	558	573	735
ABCE1	626	864	770	2166	1976	1712	350	404	403	1083	1133	1284
ABCF1	822	1005	997	2256	2196	1995	986	1423	1228	843	875	1121
ABCF2	321	321	318	1593	1357	1294	224	188	214	667	721	787
ABCF2P1	0	0	0	1	0	0	0	0	0	0	0	0
ABCF3	336	481	489	890	889	844	190	235	202	520	515	621
ABCG1	28	48	45	237	183	140	37	47	24	76	59	92
ABCG2	5	1	3	9	6	14	5	1	6	2	9	4
ABCG4	12	11	10	42	41	39	10	6	14	22	22	23
ABCG5	0	0	0	0	0	0	0	0	2	1	1	0
ABCG8	2	0	0	2	0	0	2	1	1	0	1	7
ABHD1	6	1	4	12	14	13	1	0	0	8	7	12
ABHD10	156	166	167	790	732	758	66	83	95	388	366	438
ABHD11	54	71	73	529	483	422	12	7	13	180	174	179
ABHD11-AS1	1	3	0	1	0	1	3	5	5	0	1	3
ABHD12	239	250	299	1245	1258	1091	91	107	121	504	525	615
ABHD12B	0	1	0	0	0	6	2	0	1	1	3	1
ABHD13	136	194	176	660	679	510	131	202	115	391	391	441
ABHD14A	38	41	30	222	237	207	13	5	20	95	74	103
ABHD14A-ACY1	0	0	1	1	0	0	0	0	0	0	0	0
ABHD14B	44	31	50	158	163	143	22	25	46	123	123	158
ABHD15	12	13	18	73	97	84	15	20	18	62	55	77
ABHD15-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	4	10	10	16	16	15	6	7	1	8	12	11
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0
