"","V1","V2","V3"
"1","Cox6b1","Cox7a2",5.29998871381872
"2","Atp5j2","Uqcr11",5.21096769380142
"3","Cox6b1","Uqcrb",5.19835233966774
"4","Atp5k","Atp5j2",5.18500204243855
"5","Ndufb11","Cox6b1",5.17641886073329
"6","Atp5l","Uqcrh",5.11730062487595
"7","Cox7a2","Atp5j2",5.10428779516474
"8","Cox6b1","Atp5j2",5.04456648867131
"9","Cox6b1","Ndufa4",5.00563278841673
"10","Atp5j2","Uqcrb",4.9832851215665
"11","Cox7a2","Uqcrb",4.98055437226685
"12","Atp5k","Cox7a2",4.95701042047449
"13","Ndufb11","Cox7a2",4.95583358648946
"14","Cox6b1","Atp5k",4.9245136011582
"15","Minos1","Ndufc1",4.90385032995914
"16","Atp5k","Ndufb7",4.89914611339282
"17","Ndufb11","Atp5j2",4.89540500035196
"18","Rpl27a","Rplp1",4.88836611882698
"19","Rps4x","Rpl27a",4.87484005787951
"20","Ndufc1","Ndufa5",4.87036086150511
"21","Ndufb6","Ndufb5",4.86979600030918
"22","Atp5g1","Atp5k",4.86061945462666
"23","Ndufc1","Uqcr11",4.85140512709199
"24","Rpl27a","Rpl15",4.85091425980545
"25","Atp5k","2010107E04Rik",4.85031644544983
"26","Ndufa12","Ndufv2",4.84942076377843
"27","Ndufb11","Atp5k",4.84440529077983
"28","Atp5k","Uqcrb",4.84317168624398
"29","Cox6b1","Ndufc1",4.84085844503966
"30","Rps4x","Rplp1",4.83470928175097
"31","Atp5k","Uqcr11",4.82896259584663
"32","Rplp1","Rplp2",4.80008597320534
"33","Ndufa12","Ndufa5",4.79108559302995
"34","Ndufb11","Ndufv3",4.77420074699126
"35","Vps29","Vps35",4.77360752996287
"36","Ndufc1","Ndufa12",4.76213965908846
"37","Rplp1","Rpl15",4.75302686601844
"38","Cox7a2","Ndufv3",4.74977410676047
"39","Atp5l","Uqcr11",4.74245268314894
"40","Rps4x","Rpl15",4.74133318541749
"41","Polr1b","Polr1a",4.72847905399294
"42","Atp5k","Atp5l",4.72417199457777
"43","Cox6b1","Uqcr11",4.72203155008765
"44","Ndufs8","Ndufv3",4.71181656740669
"45","Uqcr11","Ndufb2",4.70829279300665
"46","Pola1","Pola2",4.70704107362826
"47","Ndufb7","Ndufv2",4.70032943196088
"48","Atp5j2","Ndufv3",4.69859224437869
"49","Ndufb11","Ndufa4",4.69836139177937
"50","Rpl27a","Rplp2",4.68831325584279
"51","Myom2","Ttn",4.68219892586399
"52","Smarca4","Smarcd1",4.68041995483145
"53","Cox7a2","Ndufa4",4.67893502770312
"54","Atp5j2","Ndufc1",4.6786084798473
"55","Atp5j2","Ndufa5",4.67083193679787
"56","Atp5j","Ndufc1",4.6707622257527
"57","Polr2a","Polr2b",4.65984033423933
"58","Uqcr11","Ndufa5",4.65585608575429
"59","Vps29","Vps26b",4.6527395358205
"60","Ndufc1","Ndufb7",4.6472012025215
"61","Ndufa5","Ndufv2",4.64685937429613
"62","Eif4e","Eif4ebp2",4.63771641751964
"63","Eif4e","Eif4ebp1",4.63690349717444
"64","Skiv2l","Ttc37",4.62625511684064
"65","Ndufs8","Ndufb2",4.6248272350042
"66","Smarcc1","Smarcd1",4.62298729319241
"67","Polr2a","Polr2i",4.61796081009447
"68","Cct3","Cct8",4.61752243167075
"69","Alb","Ttr",4.61678205343264
"70","Uqcr11","Sdhb",4.61047199079167
"71","Atp5k","Ndufa4",4.6092183872056
"72","Atp5k","Ndufa5",4.60629644424716
"73","Ndufb5","Uqcr11",4.60042596519907
"74","Uqcr11","Ndufv3",4.59651017597139
"75","Phb2","Phb",4.59403624282777
"76","Uqcr11","Ndufb7",4.59376797243067
"77","Uqcrb","Atp5h",4.59080615554535
"78","Ndufc1","Uqcrb",4.58276290502454
"79","Ndufa12","Ndufb7",4.57778863916405
"80","Cox6b1","Atp5h",4.5759947269587
"81","Atp5f1","Cycs",4.57253160170967
"82","Vps35","Vps26b",4.57015781293535
"83","Smarcc2","Smarcd1",4.569220085795
"84","Cpsf3","Cpsf1",4.56723403202409
"85","Ndufb5","Sdhb",4.56620168984205
"86","Ndufc1","2010107E04Rik",4.56483945712671
"87","Smarcc1","Arid1b",4.56244774098559
"88","Smarcc1","Arid1a",4.55996033722636
"89","Uqcrq","Uqcr11",4.55838852221109
"90","Eif3b","Eif3g",4.55567106261424
"91","Polr2a","Polr2g",4.54761734451336
"92","Eif4e","Eif4g3",4.54620740837345
"93","Polr2a","Polr2h",4.5438983231461
"94","Pdha1","Pdhb",4.54067067387246
"95","Smarca4","Smarcc2",4.5392514631701
"96","Sucla2","Suclg1",4.53694690200768
"97","Eif4e","Eif4g1",4.53584583456541
"98","Smarca4","Actl6a",4.53422136971722
"99","Smarca4","Arid1b",4.53104993936859
"100","Atp5j2","Uqcrh",4.52969442064887
"101","Smarca4","Arid1a",4.52937728989923
"102","Atp5j2","Atp5h",4.52911590771691
"103","Atp5k","Ndufc1",4.52846154385225
"104","Atp5k","Atp5h",4.52817737347709
"105","Polr2a","Polr2f",4.528017032854
"106","Stag2","Smc1a",4.52758778997168
"107","Exosc5","Exosc9",4.52643398921236
"108","Crcp","Polr3k",4.52555989388566
"109","Ndufb5","Ndufc1",4.52505618302166
"110","Polr2f","Polr2i",4.52114368657544
