"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",3185.31799350055,0.493268845695605,0.0690073724405071,7.14806010214145,8.80127789553203e-13,6.4394060762777e-11
"0610006L08Rik",463.452575866607,-0.623328880299286,0.143435245256181,-4.34571627904981,1.38821911266542e-05,0.000129258275071822
"0610007P14Rik",657.69719578612,-0.586334007094717,0.100116823675944,-5.85649829435809,4.72728441420062e-09,1.27994335570017e-07
"0610009B22Rik",690.859442334349,-0.576577738247938,0.0854168467136194,-6.75016417055355,1.47677960459949e-11,7.7422757486996e-10
"0610010K14Rik",18.4319271506759,1.01899478466521,0.407718116210015,2.49926295681285,0.0124451926976228,0.040037670937711
"0610012G03Rik",506.606638609595,-0.427529549898326,0.0962436538335674,-4.44215834363111,8.90609793750945e-06,8.70618671302141e-05
"0610030E20Rik",839.090790422664,0.547085664817241,0.108567205007531,5.03914294173174,4.67621148591142e-07,6.87319584652445e-06
"0610031O16Rik",167.851482935606,-1.05700781336585,0.299882016836501,-3.52474557999969,0.000423889699119116,0.0023799700637445
"1110004E09Rik",391.221849912327,-0.367960957045988,0.127753885313175,-2.88023300539135,0.0039738136932074,0.0156387571163233
"1110008F13Rik",1654.17024862081,-0.287530381804054,0.0898989962894666,-3.19837143540771,0.00138206142486496,0.00643606652790015
"1110008P14Rik",432.38922195963,-0.763946027045758,0.131178621433427,-5.82370830473668,5.75559972899595e-09,1.50633835832641e-07
"1110018N20Rik",19.5345387489176,1.4962767892496,0.531940522532174,2.81286483332184,0.00491022865603576,0.0186679409089286
"1110032A03Rik",1366.12446444282,-0.342248920429778,0.0804986558061881,-4.25161037786508,2.12238862816452e-05,0.000186116789620334
"1110059E24Rik",284.002366407289,-0.516490818780511,0.117713670228142,-4.38768766430861,1.14562132815556e-05,0.000109138994815375
"1110065P20Rik",281.619495158843,-0.630828526609306,0.122326316471621,-5.15693225141505,2.51028577080922e-07,4.02379010312185e-06
"1300002E11Rik",415.280067950173,0.28503795639506,0.113814706424197,2.50440356391818,0.0122658037981064,0.0395455664168484
"1500011K16Rik",382.287073714545,-0.811104011345632,0.123417928298486,-6.57201123473714,4.96401164324856e-11,2.28261339863569e-09
"1500015O10Rik",12.2716558572158,-1.35855737925773,0.548782927569476,-2.47558244071968,0.0133019047650731,0.0422454944188565
"1600012H06Rik",719.482528847705,-0.298052016443339,0.111407569075577,-2.67533004190357,0.00746557153358381,0.0263843363215665
"1600020E01Rik",195.771481406114,0.497039515664294,0.181681583941149,2.73577269023203,0.00622339989403962,0.0227362647704572
"1700020D05Rik",5.47809550064245,2.55085236725593,0.821031995698264,3.10688545710878,0.00189069641616339,0.00837810078139483
"1700021F05Rik",594.623580214558,-0.335175135166126,0.124676561923301,-2.68835721803365,0.00718045364717492,0.0255743461574629
"1700029J07Rik",165.74015645314,0.861541316232811,0.157188020497312,5.48096040338867,4.23023159999447e-08,8.73752479286186e-07
"1700034H15Rik",44.6095196726266,1.47368346460888,0.296821819140085,4.96487579275085,6.8745052014863e-07,9.59865179193109e-06
"1700037C18Rik",173.254871015081,-0.663692119006859,0.1505490538364,-4.40847751675735,1.04099824640108e-05,0.000100215866270495
"1700037H04Rik",448.350251102594,-0.512036206628496,0.163409134323924,-3.13346134992365,0.00172757668809383,0.0077576015928534
"1700066M21Rik",146.638001714528,-0.599491886891847,0.182174308869868,-3.29075977074286,0.000999172007294974,0.00489972284304137
"1700109H08Rik",64.5738037564755,1.4546375505854,0.285875933733229,5.08835259963795,3.6118735390203e-07,5.51564584409575e-06
"1700123O20Rik",655.087548590269,-0.332280430357202,0.114977369033535,-2.88996376548055,0.00385286233274078,0.0152502572064387
"1810017P11Rik",111.179203929476,1.35282628322222,0.204463940971536,6.61645411310228,3.67917006451679e-11,1.7304713600593e-09
"1810019D21Rik",506.777001750082,0.962824535926866,0.141413224752066,6.80858906665165,9.85605624591216e-12,5.48143236216912e-10
"1810032O08Rik",151.455017872512,0.528609353264958,0.210176437299559,2.51507428737859,0.0119007304839425,0.0386381629341312
"1810034E14Rik",248.970674422168,-0.442662793730717,0.162269872638149,-2.72794195579253,0.0063730821159888,0.0231597522722754
"1810037I17Rik",573.847345527993,-0.492826743551496,0.105269195533319,-4.68158553938519,2.84664567751173e-06,3.27016616491264e-05
"1810058I24Rik",829.623469186829,-0.240608458164903,0.0858602826344133,-2.80232548487403,0.0050735657645738,0.0191605963790809
"2010107E04Rik",2201.28419529315,-0.614070852111978,0.0814890146161504,-7.53562740946771,4.85992407377866e-14,4.79066288039187e-12
"2010111I01Rik",1101.99615274812,0.245918642213783,0.0923562731043764,2.66271725728753,0.00775125140313417,0.0271203189369596
"2010204K13Rik",77.4529320826701,-0.826281120389134,0.221086744460865,-3.7373616514372,0.000185961352786582,0.00118151130435072
"2010320M18Rik",239.876338901725,-0.478024920749555,0.143613233115835,-3.32855761532778,0.000872969465202699,0.0043794134360394
"2200002D01Rik",117.345515389321,-0.552003223666626,0.179955278640609,-3.06744668918013,0.00215895966969716,0.0093923874425356
"2210011C24Rik",106.002056410726,-0.980960565417183,0.226692831797558,-4.3272676848168,1.50970443050519e-05,0.000138919811822116
"2210016F16Rik",778.770937759451,-0.490160970965244,0.095398623983436,-5.13802977965752,2.77633893068539e-07,4.40733765447858e-06
"2310009A05Rik",179.553373191921,-0.477763583029583,0.153375677248173,-3.11498923167932,0.00183951625187809,0.00817993423512076
"2310011J03Rik",548.16027186767,-0.301281288187287,0.0908028038349736,-3.31797340459706,0.000906731175226507,0.00451227587865138
"2310030G06Rik",1198.52602747655,-0.339071675638696,0.0966658236268591,-3.50766861458244,0.000452051777327326,0.00252174732577514
"2310036O22Rik",870.376594835395,-0.275397515583281,0.0907838293792084,-3.0335525331602,0.00241692626631255,0.0102996221061448
